disease,mrr,hit1,conf,n,GPT,Gemini,Llama,frac_consistent,disease_name,drug,area,doid,n_kg,model_spread,doidn,orig,modality,year
"mCRC BRAF V600E (traditional approval, was accelerated)",0.9506172839506173,0.9444444444444444,5.0,54,0.9506172839506173,1.0,0.9012345679012346,0.9444444444444444,"mCRC BRAF V600E (traditional approval, was accelerated)",encorafenib,Oncology,DOID:0080199,3.0,0.09876543209876543,80199,2020.0,Small mol,2023
BRAF V600E metastatic NSCLC,0.9514623750734862,0.9444444444444444,4.849056603773585,54,1.0,1.0,0.8543871252204585,0.9444444444444444,BRAF V600E metastatic NSCLC,encorafenib+binimetinib,Oncology,DOID:3908,3.0,0.14561287477954155,3908,2014.0,Antibody,2023
Crohn's disease,0.9560185185185185,0.9259259259259259,4.626168224299065,108,0.9722222222222222,0.9791666666666666,0.9166666666666666,0.9537037037037037,Crohn's disease,guselkumab / upadacitinib,Immunology,DOID:8778,3.0,0.0625,8778,2019.0,Small mol,2023
Pancreatic NET,0.9570230607966457,0.9433962264150944,4.450980392156863,53,1.0,1.0,0.8734567901234568,0.9433962264150944,Pancreatic NET,cabozantinib,Oncology,DOID:0112306,3.0,0.12654320987654322,112306,2016.0,Small mol,2024-2026
Retinopathy of prematurity,0.9603909465020577,0.9444444444444444,4.60377358490566,54,1.0,0.9506172839506173,0.9305555555555556,0.9629629629629629,Retinopathy of prematurity,aflibercept,Ophthalmology,DOID:13025,3.0,0.06944444444444442,13025,2011.0,Antibody,2023
Palmoplantar pustulosis (PMDA),0.9652777777777778,0.9444444444444444,4.592592592592593,54,1.0,1.0,0.8958333333333334,0.9444444444444444,Palmoplantar pustulosis (PMDA),guselkumab,Immunology,DOID:4398,1.0,0.10416666666666663,4398,2019.0,Antibody,2023
Heterozygous familial hypercholesterolemia,0.9652777777777778,0.9444444444444444,4.888888888888889,54,0.9722222222222222,1.0,0.9236111111111112,0.9444444444444444,Heterozygous familial hypercholesterolemia,alirocumab,Cardiovascular,DOID:13810,1.0,0.07638888888888884,13810,2021.0,Small mol,2023
MSI-H/dMMR solid tumors (full approval conversion),0.9658119658119658,0.9615384615384616,4.72,52,1.0,1.0,0.9012345679012346,0.9230769230769231,MSI-H/dMMR solid tumors (full approval conversion),pembrolizumab,Oncology,DOID:7360,2.0,0.09876543209876543,7360,2014.0,Antibody,2023
Chronic lymphocytic leukemia,0.9669811320754716,0.9433962264150944,4.098039215686274,53,1.0,0.9411764705882353,0.9583333333333334,0.7358490566037735,Chronic lymphocytic leukemia,zanubrutinib,Oncology,DOID:1040,3.0,0.05882352941176472,1040,2019.0,Small mol,2023
IgE-mediated food allergy,0.9670781893004116,0.9629629629629629,4.884615384615385,54,1.0,1.0,0.9012345679012346,0.9629629629629629,IgE-mediated food allergy,omalizumab,Immunology,DOID:3044,2.0,0.09876543209876543,3044,2003.0,Antibody,2024-2026
"Crohn's disease (moderate-severe, refractory)",0.9745370370370371,0.9629629629629629,4.814814814814815,54,1.0,0.9722222222222222,0.9513888888888888,1.0,"Crohn's disease (moderate-severe, refractory)",guselkumab,Immunology,DOID:8778,3.0,0.04861111111111116,8778,2019.0,Small mol,2023
"ALK+ solid tumors (tissue-agnostic, world-first)",0.9837962962962963,0.9814814814814815,4.925925925925926,54,1.0,1.0,0.9513888888888888,0.9814814814814815,"ALK+ solid tumors (tissue-agnostic, world-first)",alectinib,Oncology,DOID:7360,2.0,0.04861111111111116,7360,2014.0,Antibody,2023
Schnitzler syndrome (Japan),0.9841269841269842,0.9814814814814815,4.666666666666667,54,1.0,1.0,0.9523809523809523,0.9629629629629629,Schnitzler syndrome (Japan),canakinumab,Immunology,DOID:4371,3.0,0.04761904761904767,4371,2009.0,Antibody,2024-2026
Primary humoral immunodeficiency pediatric 2-11yr,0.9907407407407407,0.9814814814814815,4.5,54,1.0,1.0,0.9722222222222222,1.0,Primary humoral immunodeficiency pediatric 2-11yr,immune globulin IV (human-slra),Immunology,DOID:0111941,3.0,0.02777777777777779,111941,2014.0,Small mol,2023
