Pair_ID,Drug,Active,NewIndication,TA_simplified,YearSet,Agencies,DrugBank_ID,MONDO_ID,DOID_ID,MeSH_ID,StrictRepurposing,drop_stage,drop_reason
182,Kaftrio+Kalydeco,ivacaftor/tezacaftor/elexacaftor+ivacaftor,Additional CF mutations (non-class I),Respiratory,2024-2026,EMA,"DB08820,DB11712,DB15444,DB08820",MONDO:0009061,DOID:1485,D003550,False,3_no_kg_coverage,No KG coverage: drug or disease absent from all 3 evaluation KGs
183,Aqvesme,mitapivat,Thalassemia anemia,Hematology,2024-2026,FDA,DB16236,MONDO:0000984,DOID:10241,D013789,True,3_no_kg_coverage,No KG coverage: drug or disease absent from all 3 evaluation KGs
160,Vyvgart,efgartigimod,Generalized myasthenia gravis (expanded),Immunology,2024-2026,EMA,DB15270,MONDO:0018324,DOID:437,D009157,True,3_no_kg_coverage,No KG coverage: drug or disease absent from all 3 evaluation KGs
186,Pyrukynd,mitapivat,Thalassemia anemia (EU),Hematology,2024-2026,EMA,DB16236,MONDO:0000984,DOID:10241,D013789,True,3_no_kg_coverage,No KG coverage: drug or disease absent from all 3 evaluation KGs
189,Livmarli,maralixibat,PFIC/Alagille syndrome cholestatic pruritus,,2024-2026,"FDA, EMA",DB16226,MONDO:0015762,DOID:0070221,D002780,True,3_no_kg_coverage,No KG coverage: drug or disease absent from all 3 evaluation KGs
82,Metalyse,tenecteplase,Acute ischemic stroke,Cardiovascular,2023,EMA,DB00031,MONDO:1060198,DOID:0051062,D000083242,True,3_no_kg_coverage,No KG coverage: drug or disease absent from all 3 evaluation KGs
200,Tecvayli,teclistamab-cqyv,R/R MM +daratumumab hyaluronidase (≥1 prior line),Oncology,2024-2026,FDA,DB16655,MONDO:0009693,DOID:9538,D009101,True,3_no_kg_coverage,No KG coverage: drug or disease absent from all 3 evaluation KGs
201,Breztri,budesonide/glycopyrrolate/formoterol,Asthma (was COPD only),Respiratory,2024-2026,FDA,"DB01222,DB00986,DB00983",MONDO:0004979,DOID:2841,D001249,True,3_no_kg_coverage,No KG coverage: drug or disease absent from all 3 evaluation KGs
53,Cibinqo,abrocitinib,Adolescent atopic dermatitis,Immunology,2023,FDA,DB14973,MONDO:0011596,DOID:0110098,C565293,False,3_no_kg_coverage,No KG coverage: drug or disease absent from all 3 evaluation KGs
205,Vyvgart,efgartigimod alfa-fcab,All adult gMG (expanded from AChR+ only),Immunology,2024-2026,FDA,DB15270,MONDO:0018324,DOID:437,D009157,False,3_no_kg_coverage,No KG coverage: drug or disease absent from all 3 evaluation KGs
49,Bylvay,odevixibat,Alagille syndrome cholestatic pruritus,GI/Metabolic,2023,FDA,DB16261,MONDO:0007318,DOID:9245,D016738,True,3_no_kg_coverage,No KG coverage: drug or disease absent from all 3 evaluation KGs
210,Sotyktu,deucravacitinib,Psoriatic arthritis,Immunology,2024-2026,FDA+EMA+PMDA,DB16650,MONDO:0011849,DOID:9008,D015535,True,3_no_kg_coverage,No KG coverage: drug or disease absent from all 3 evaluation KGs
167,TNKase,tenecteplase,Acute ischemic stroke,Cardiovascular,2024-2026,FDA,DB00031,MONDO:1060198,DOID:0051062,D000083242,True,3_no_kg_coverage,No KG coverage: drug or disease absent from all 3 evaluation KGs
216,Aquipta,atogepant,Acute treatment of migraine (was prophylaxis only),CNS,2024-2026,EMA+PMDA,DB16098,MONDO:0043219,DOID:6364,D008881,True,3_no_kg_coverage,No KG coverage: drug or disease absent from all 3 evaluation KGs
219,Kerendia,finerenone,Symptomatic chronic HFpEF (LVEF≥40%),Cardiovascular,2024-2026,EMA,DB16165,MONDO:0006727,DOID:9775,D054144,True,3_no_kg_coverage,No KG coverage: drug or disease absent from all 3 evaluation KGs
47,Akeega,niraparib+abiraterone acetate,BRCA-mutated mCRPC,Oncology,2023,FDA,"DB11793,DB05812",MONDO:0008315,DOID:10283,D011471,True,3_no_kg_coverage,No KG coverage: drug or disease absent from all 3 evaluation KGs
