Pair_ID,Drug,Active,DrugBank_ID,PubChem_CID,OrigYear,NewIndication,MONDO_ID,MeSH_ID,DOID_ID,Agencies,TA,TA_simplified,StrictRepurposing,Drug_Pre2023,YearSet,ID_Flag,key,in_final,status
122,Tagrisso,osimertinib,DB09330,71496458,2016,Adjuvant EGFR+ NSCLC,MONDO:0005233,D002289,DOID:3908,"EMA, MHRA/Orbis",Oncology,Oncology,True,True,2024-2026,complete,DB09330|DOID:3908,False,dropped
123,Tagrisso,osimertinib,DB09330,71496458,2016,Stage III EGFR+ NSCLC post-chemoradiation,MONDO:0005233,D002289,DOID:3908,"EMA, PMDA, MHRA/Orbis",Oncology,Oncology,True,True,2024-2026,complete,DB09330|DOID:3908,False,dropped
124,Xalkori,crizotinib,DB08865,11626560,2012,ALK+ or ROS1+ NSCLC (pediatric/new formulation),MONDO:0005233,D002289,DOID:3908,"EMA, PMDA",Oncology,Oncology,True,True,2024-2026,complete,DB08865|DOID:3908,False,dropped
125,Lynparza,olaparib,DB09074,23725625,2014,BRCA-mutated mCRPC (+abiraterone),MONDO:0008315,D011471,DOID:10283,EMA,Oncology,Oncology,True,True,2024-2026,complete,DB09074|DOID:10283,False,dropped
126,Kisqali,ribociclib,DB11730,44631912,2017,HR+/HER2- early breast cancer (adjuvant),MONDO:0007254,D000072656,DOID:1612,EMA,Oncology,Oncology,True,True,2024-2026,complete,DB11730|DOID:1612,True,kept
127,Xtandi,enzalutamide,DB08899,15951529,2013,Metastatic hormone-sensitive prostate cancer,MONDO:0004956,D011471,DOID:10283,EMA,Oncology,Oncology,True,True,2024-2026,complete,DB08899|DOID:10283,False,dropped
128,Nubeqa,darolutamide,DB12941,67171867,2019,mHSPC + ADT,MONDO:0004956,D011471,DOID:10283,"EMA, MHRA/Orbis",Oncology,Oncology,True,True,2024-2026,complete,DB12941|DOID:10283,True,kept
129,Retsevmo,selpercatinib,DB15685,134436906,2021,RET-fusion NSCLC (expanded),MONDO:0005233,D002289,DOID:3908,EMA,Oncology,Oncology,True,True,2024-2026,complete,DB15685|DOID:3908,True,kept
130,Rozlytrek,entrectinib,DB11986,25141092,2020,NTRK fusion solid tumors (pediatric),MONDO:0004198,D066066,DOID:7360,EMA,Oncology,Oncology,True,True,2024-2026,complete,DB11986|DOID:7360,False,dropped
131,Braftovi,encorafenib,DB11718,50922675,2018,BRAF+ thyroid cancer,MONDO:0002108,D000077273,DOID:1781,"EMA, PMDA",Oncology,Oncology,True,True,2024-2026,complete,DB11718|DOID:1781,True,kept
132,Mektovi,binimetinib,DB11967,10288191,2018,BRAF+ thyroid cancer,MONDO:0002108,D000077273,DOID:1781,"EMA, PMDA",Oncology,Oncology,True,True,2024-2026,complete,DB11967|DOID:1781,True,kept
133,Onivyde,irinotecan (liposomal),DB00762,60838,2016,Pancreatic cancer (2L+),MONDO:0006478,D010190,DOID:4905,EMA,Oncology,Oncology,True,True,2024-2026,complete,DB00762|DOID:4905,False,dropped
134,Adcetris,brentuximab vedotin,DB08870,,2012,Stage III Hodgkin lymphoma,MONDO:0004952,D006689,DOID:8567,EMA,Oncology,Oncology,True,True,2024-2026,missing_PubChem,DB08870|DOID:8567,False,dropped
135,Bosulif,bosutinib,DB06616,5328940,2013,Pediatric Ph+ CML-CP,MONDO:0011996,D015464,DOID:0081088,EMA,Oncology,Oncology,True,True,2024-2026,complete,DB06616|DOID:0081088,False,dropped
136,Sarclisa,isatuximab,DB14811,,2020,Newly diagnosed MM ineligible for ASCT,MONDO:0009693,D009101,DOID:9538,EMA,Oncology,Oncology,True,True,2024-2026,missing_PubChem,DB14811|DOID:9538,False,dropped
137,Imbruvica,ibrutinib,DB09053,24821094,2014,Chronic GVHD,MONDO:0020547,D006086,DOID:0081267,EMA,Oncology,Oncology,True,True,2024-2026,complete,DB09053|DOID:0081267,False,dropped
138,Carvykti,ciltacabtagene autoleucel,,,2022,R/R MM (earlier line),MONDO:0009693,D009101,DOID:9538,EMA,Oncology,Oncology,True,True,2024-2026,missing_DrugBank|missing_PubChem,nan|DOID:9538,False,dropped
139,Cibinqo,abrocitinib,DB14973,78323835,2021,Atopic dermatitis (adolescents),MONDO:0011596,C565293,DOID:0110098,EMA,Oncology,Oncology,False,True,2024-2026,complete,DB14973|DOID:0110098,False,dropped
140,Reblozyl,luspatercept,DB12281,,2020,First-line anemia in lower-risk MDS,MONDO:0018881,D009190,DOID:0050908,EMA,Oncology,Oncology,True,True,2024-2026,missing_PubChem,DB12281|DOID:0050908,True,kept
141,Blincyto,blinatumomab,DB09052,,2015,CD19+ B-precursor ALL consolidation,MONDO:0004967,D054198,DOID:9952,MHRA/Orbis,Oncology,Oncology,True,True,2024-2026,missing_PubChem,DB09052|DOID:9952,False,dropped
142,Breyanzi,lisocabtagene maraleucel,,,2021,Follicular lymphoma 3L+,MONDO:0018906,D008224,DOID:0050873,EMA,Oncology,Oncology,True,True,2024-2026,missing_DrugBank|missing_PubChem,nan|DOID:0050873,False,dropped
143,Gazyvaro,obinutuzumab,DB08935,,2014,Follicular lymphoma (+chemo),MONDO:0018906,D008224,DOID:0050873,EMA,Oncology,Oncology,True,True,2024-2026,missing_PubChem,DB08935|DOID:0050873,False,dropped
144,Scemblix,asciminib,DB12597,72165228,2021,Ph+ CML-CP after 2+ TKIs,MONDO:0011996,D015464,DOID:0081088,EMA,Oncology,Oncology,True,True,2024-2026,complete,DB12597|DOID:0081088,True,kept
145,Rinvoq,upadacitinib,DB15091,58557659,2019,Giant cell arteritis,MONDO:0008538,D013700,DOID:13375,"FDA, EMA",Immunology,Immunology,True,True,2024-2026,complete,DB15091|DOID:13375,True,kept
146,Tremfya,guselkumab,DB11834,,2017,Crohn's disease,MONDO:0005011,D003424,DOID:8778,"FDA, EMA, PMDA",Immunology,Immunology,True,True,2024-2026,missing_PubChem,DB11834|DOID:8778,True,kept
147,Tremfya,guselkumab,DB11834,,2017,Ulcerative colitis,MONDO:0005101,D003093,DOID:8577,"FDA, EMA, PMDA",Immunology,Immunology,True,True,2024-2026,missing_PubChem,DB11834|DOID:8577,True,kept
148,Skyrizi,risankizumab,DB14762,,2019,Ulcerative colitis,MONDO:0005101,D003093,DOID:8577,"EMA, PMDA",Immunology,Immunology,True,True,2024-2026,missing_PubChem,DB14762|DOID:8577,True,kept
149,Uplizna,inebilizumab,DB12530,,2020,IgG4-related disease,MONDO:0017287,,DOID:0080356,"FDA, EMA",Immunology,Immunology,True,True,2024-2026,missing_PubChem|missing_MeSH,DB12530|DOID:0080356,True,kept
150,Uplizna,inebilizumab,DB12530,,2020,Generalized myasthenia gravis,MONDO:0009688,D009157,DOID:437,FDA,Immunology,Immunology,True,True,2024-2026,missing_PubChem,DB12530|DOID:437,True,kept
151,Xolair,omalizumab,DB00043,,2003,IgE-mediated food allergy,MONDO:0700226,D005512,DOID:3044,FDA,Immunology,Immunology,True,True,2024-2026,missing_PubChem,DB00043|DOID:3044,True,kept
152,Benlysta,belimumab,DB08879,,2011,Pediatric SLE,MONDO:0007915,D008180,DOID:9074,"FDA, EMA",Immunology,Immunology,False,True,2024-2026,missing_PubChem,DB08879|DOID:9074,False,dropped
153,Gamifant,emapalumab,DB14724,,2018,HLH/MAS in Still's disease,MONDO:0011336,C537252,DOID:0110924,FDA,Immunology,Immunology,True,True,2024-2026,missing_PubChem,DB14724|DOID:0110924,False,dropped
154,Dupixent,dupilumab,DB12159,,2017,COPD,MONDO:0005002,D029424,DOID:3083,EMA,Immunology,Immunology,True,True,2024-2026,missing_PubChem,DB12159|DOID:3083,True,kept
155,Dupixent,dupilumab,DB12159,,2017,COPD (EMA 2025),MONDO:0005002,D029424,DOID:3083,EMA,Immunology,Immunology,True,True,2024-2026,missing_PubChem,DB12159|DOID:3083,True,kept
156,Fasenra,benralizumab,DB12023,,2017,EGPA (expanded),MONDO:0015943,D015267,DOID:3049,EMA,Immunology,Immunology,True,True,2024-2026,missing_PubChem,DB12023|DOID:3049,True,kept
157,Nucala,mepolizumab,DB06612,,2015,"EGPA (expanded, PMDA)",MONDO:0015943,D015267,DOID:3049,"EMA, PMDA",Immunology,Immunology,True,True,2024-2026,missing_PubChem,DB06612|DOID:3049,False,dropped
158,Omalizumab,omalizumab,DB00043,,2009,EGPA,MONDO:0015943,D015267,DOID:3049,PMDA,Immunology,Immunology,True,True,2024-2026,missing_PubChem,DB00043|DOID:3049,True,kept
159,Canakinumab,canakinumab,DB06168,,2009,TRAPS,MONDO:0007727,C536657,DOID:0090018,PMDA,Immunology,Immunology,True,True,2024-2026,missing_PubChem,DB06168|DOID:0090018,False,dropped
160,Vyvgart,efgartigimod,DB15270,,2021,Generalized myasthenia gravis (expanded),MONDO:0018324,D009157,DOID:437,EMA,Immunology,Immunology,True,True,2024-2026,missing_PubChem,DB15270|DOID:437,False,dropped
161,Otezla,apremilast,DB05676,11561674,2014,Plaque psoriasis,MONDO:0005083,D011565,DOID:8893,"FDA, EMA, PMDA",Immunology,Immunology,False,True,2024-2026,complete,DB05676|DOID:8893,False,dropped
162,Jakavi,ruxolitinib,DB08877,25126798,2012,GVHD + pediatric,MONDO:0013730,D006086,DOID:0081267,PMDA,Immunology,Immunology,True,True,2024-2026,complete,DB08877|DOID:0081267,True,kept
163,Upadacitinib,upadacitinib,DB15091,58557659,2019,Pediatric atopic dermatitis,MONDO:0011596,C565293,DOID:0110098,PMDA,Immunology,Immunology,False,True,2024-2026,complete,DB15091|DOID:0110098,True,kept
164,Wegovy,semaglutide,DB13928,56843331,2021,Reduce MACE in CVD + obesity/overweight,MONDO:0004995,D002318,DOID:1287,FDA,Cardiovascular,Cardiovascular,True,True,2024-2026,complete,DB13928|DOID:1287,True,kept
165,Amvuttra,vutrisiran,DB16699,,2022,ATTR cardiomyopathy,MONDO:0007100,C567782,DOID:0050638,"FDA, EMA",Cardiovascular,Cardiovascular,True,True,2024-2026,missing_PubChem,DB16699|DOID:0050638,False,dropped
166,Kerendia,finerenone,DB16165,60150535,2021,HFpEF,MONDO:0006727,D054144,DOID:9775,FDA,Cardiovascular,Cardiovascular,True,True,2024-2026,complete,DB16165|DOID:9775,False,dropped
167,TNKase,tenecteplase,DB00031,,2001,Acute ischemic stroke,MONDO:1060198,D000083242,DOID:0051062,FDA,Cardiovascular,Cardiovascular,True,True,2024-2026,missing_PubChem,DB00031|DOID:0051062,False,dropped
168,Edoxaban,edoxaban tosilate,DB09075,44610678,2014,Chronic thromboembolic pulmonary hypertension,MONDO:0013024,D065627,DOID:6432,PMDA,Cardiovascular,Cardiovascular,True,True,2024-2026,complete,DB09075|DOID:6432,True,kept
169,Treprostinil,treprostinil,DB00374,6918140,2002,ILD-associated pulmonary hypertension,MONDO:0005149,D006976,DOID:6432,PMDA,Cardiovascular,Cardiovascular,True,True,2024-2026,complete,DB00374|DOID:6432,True,kept
170,Eliquis,apixaban,DB06605,10182969,2011,Pediatric VTE prevention/treatment,MONDO:0005399,D054556,DOID:3574,EMA,Cardiovascular,Cardiovascular,False,True,2024-2026,complete,DB06605|DOID:3574,False,dropped
171,Wegovy,semaglutide,DB13928,56843331,2021,MASH with fibrosis,MONDO:0007027,,DOID:0080547,FDA,Metabolic,Metabolic,True,True,2024-2026,missing_MeSH,DB13928|DOID:0080547,True,kept
172,Ozempic,semaglutide,DB13928,56843331,2017,CKD in T2D,MONDO:0005300,D007676,DOID:784,FDA,Metabolic,Metabolic,True,True,2024-2026,complete,DB13928|DOID:784,True,kept
173,Ctexli,chenodiol,DB06777,10133,1983,Cerebrotendinous xanthomatosis,MONDO:0008948,D019294,DOID:4810,FDA,Metabolic,Metabolic,True,True,2024-2026,complete,DB06777|DOID:4810,False,dropped
174,Nityr/Harliku,nitisinone,DB00348,115355,2002,Alkaptonuria,MONDO:0008753,D000474,DOID:9270,FDA,Metabolic,Metabolic,True,True,2024-2026,complete,DB00348|DOID:9270,False,dropped
175,Empaveli,pegcetacoplan,DB16694,,2021,C3G/IC-MPGN,MONDO:0018013,D005921,,FDA,Nephrology,Nephrology,True,True,2024-2026,missing_PubChem|missing_DOID,DB16694|nan,False,dropped
176,Rituxan,rituximab,DB00073,,2001,Nephrotic syndrome,MONDO:0005377,D009404,DOID:1184,PMDA,Nephrology,Nephrology,True,True,2024-2026,missing_PubChem,DB00073|DOID:1184,True,kept
177,Yeztugo,lenacapavir,DB15673,133082658,2022,HIV PrEP,MONDO:0004951,D015658,DOID:526,FDA,Infectious,Infectious,True,True,2024-2026,complete,DB15673|DOID:526,False,dropped
178,Mavyret,glecaprevir/pibrentasvir,"DB13879,DB13878","66828839,58031952",2017,Acute HCV pediatric,MONDO:0007256,D006528,DOID:684,FDA,Infectious,Infectious,False,True,2024-2026,complete,"DB13879,DB13878|DOID:684",False,dropped
179,Prevymis,letermovir,DB12070,45138674,2018,CMV prophylaxis in organ transplant,MONDO:0005132,D003586,DOID:0080827,PMDA,Infectious,Infectious,True,True,2024-2026,complete,DB12070|DOID:0080827,False,dropped
180,Veklury,remdesivir,DB14761,121304016,2020,COVID-19 (expanded population),MONDO:0100320,D000086382,DOID:0080599,EMA,Infectious,Infectious,True,True,2024-2026,complete,DB14761|DOID:0080599,True,kept
181,Ofev,nintedanib,DB09079,135423438,2014,Progressive fibrosing ILDs in children/adolescents,MONDO:0800504,D054990,DOID:0050156,EMA,Respiratory,Respiratory,True,True,2024-2026,complete,DB09079|DOID:0050156,False,dropped
182,Kaftrio+Kalydeco,ivacaftor/tezacaftor/elexacaftor+ivacaftor,"DB08820,DB11712,DB15444,DB08820","16220172,46199646,134587348,16220172",2020,Additional CF mutations (non-class I),MONDO:0009061,D003550,DOID:1485,EMA,Respiratory,Respiratory,False,True,2024-2026,complete,"DB08820,DB11712,DB15444,DB08820|DOID:1485",False,dropped
183,Aqvesme,mitapivat,DB16236,59634741,2022,Thalassemia anemia,MONDO:0000984,D013789,DOID:10241,FDA,Hematology,Hematology,True,True,2024-2026,complete,DB16236|DOID:10241,False,dropped
184,Pegasys,peginterferon alfa-2a,DB00008,,2002,Polycythaemia vera and essential thrombocytopenia,MONDO:0009891,D011087,DOID:8997,EMA,Hematology,Hematology,True,True,2024-2026,missing_PubChem,DB00008|DOID:8997,True,kept
185,Xromi,hydroxycarbamide,DB01005,3657,1998,Vaso-occlusive complications of sickle-cell disease in children,MONDO:0011382,D000755,DOID:0081445,EMA,Hematology,Hematology,True,True,2024-2026,complete,DB01005|DOID:0081445,False,dropped
186,Pyrukynd,mitapivat,DB16236,59634741,2022,Thalassemia anemia (EU),MONDO:0000984,D013789,DOID:10241,EMA,Hematology,Hematology,True,True,2024-2026,complete,DB16236|DOID:10241,False,dropped
187,Susvimo,ranibizumab,DB01270,,2018,DME/diabetic retinopathy,MONDO:0004728,D003930,DOID:9191,FDA,Ophthalmology,Ophthalmology,True,True,2024-2026,missing_PubChem,DB01270|DOID:9191,False,dropped
188,Vabysmo,faricimab,DB15303,,2022,Retinal vein occlusion,MONDO:0006951,D012170,DOID:1727,EMA,Ophthalmology,Ophthalmology,True,True,2024-2026,missing_PubChem,DB15303|DOID:1727,True,kept
189,Livmarli,maralixibat,DB16226,9831643,2021,PFIC/Alagille syndrome cholestatic pruritus,MONDO:0015762,D002780,DOID:0070221,"FDA, EMA",GI/Metabolic,,True,True,2024-2026,complete,DB16226|DOID:0070221,False,dropped
190,Spravato,esketamine,DB11823,182137,2019,TRD monotherapy,MONDO:0002009,D003865,DOID:1470,FDA,CNS,CNS,True,True,2024-2026,complete,DB11823|DOID:1470,True,kept
191,Dupixent,dupilumab,DB12159,,2017,Allergic fungal rhinosinusitis (AFRS) ≥6yr,MONDO:0005873,D020953,DOID:13565,FDA,Immunology/Respiratory,Immunology,True,True,2024-2026,missing_PubChem,DB12159|DOID:13565,True,kept
192,Keytruda,pembrolizumab,DB09037,,2014,Platinum-resistant ovarian carcinoma (PD-L1+ CPS≥1),MONDO:0005140,D010051,DOID:4001,FDA,Oncology,Oncology,True,True,2024-2026,missing_PubChem,DB09037|DOID:4001,True,kept
193,Wellcovorin,leucovorin calcium,DB00149,135403647,1983,Cerebral folate transport deficiency,MONDO:0100034,,DOID:0050719,FDA,CNS/Metabolic,CNS,True,True,2024-2026,missing_MeSH,DB00149|DOID:0050719,True,kept
194,Opdivo,nivolumab,DB09035,,2014,Previously untreated Stage III/IV cHL +AVD,MONDO:0004604,D006689,DOID:8543,FDA+EMA,Oncology,Oncology,True,True,2024-2026,missing_PubChem,DB09035|DOID:8543,False,dropped
195,Imcivree,setmelanotide,DB11700,11993702,2020,Acquired hypothalamic obesity,MONDO:0017408,D009765,DOID:6676,FDA+EMA,Metabolic,Metabolic,True,True,2024-2026,complete,DB11700|DOID:6676,True,kept
196,Auvelity,dextromethorphan+bupropion,"DB00514,DB01156","5360696,444",2022,Agitation associated with Alzheimer's dementia,MONDO:0004975,D000544,DOID:10652,FDA,CNS,CNS,True,True,2024-2026,complete,"DB00514,DB01156|DOID:10652",False,dropped
197,Enhertu,trastuzumab deruxtecan,DB14962,,2019,HER2+ early-stage BC (neoadjuvant + adjuvant),MONDO:0007254,D000072656,DOID:1612,FDA+EMA,Oncology,Oncology,True,True,2024-2026,missing_PubChem,DB14962|DOID:1612,True,kept
198,Tecentriq,atezolizumab,DB11595,,2016,Adjuvant MIBC with ctDNA MRD post-cystectomy,MONDO:0004986,D001749,DOID:4007,FDA,Oncology,Oncology,True,True,2024-2026,missing_PubChem,DB11595|DOID:4007,False,dropped
199,Calquence,acalabrutinib,DB11703,71226662,2017,CLL/SLL 1L +venetoclax (fixed-duration),MONDO:0004948,D015451,DOID:1040,FDA,Oncology,Oncology,True,True,2024-2026,complete,DB11703|DOID:1040,False,dropped
200,Tecvayli,teclistamab-cqyv,DB16655,,2022,R/R MM +daratumumab hyaluronidase (≥1 prior line),MONDO:0009693,D009101,DOID:9538,FDA,Oncology,Oncology,True,True,2024-2026,missing_PubChem,DB16655|DOID:9538,False,dropped
201,Breztri,budesonide/glycopyrrolate/formoterol,"DB01222,DB00986,DB00983","5281004,11693,3410",2020,Asthma (was COPD only),MONDO:0004979,D001249,DOID:2841,FDA,Respiratory,Respiratory,True,True,2024-2026,complete,"DB01222,DB00986,DB00983|DOID:2841",False,dropped
202,Wakix,pitolisant,DB11642,9948102,2019,Narcolepsy (expanded),MONDO:0021107,D009290,DOID:8986,FDA,CNS/Sleep,CNS,True,True,2024-2026,complete,DB11642|DOID:8986,False,dropped
203,Caldolor,ibuprofen (IV),DB01050,3672,2009,Fever and pain in infants,MONDO:0001195,D005334,DOID:11104,FDA,Pain/Anesthesia,Other,True,True,2024-2026,complete,DB01050|DOID:11104,False,dropped
204,Ocrevus,ocrelizumab,DB11988,,2017,Pediatric relapsing-remitting MS ≥10yr,MONDO:0005301,D009103,DOID:2377,FDA,Immunology/Neurology,Immunology,False,True,2024-2026,missing_PubChem,DB11988|DOID:2377,False,dropped
205,Vyvgart,efgartigimod alfa-fcab,DB15270,,2021,All adult gMG (expanded from AChR+ only),MONDO:0018324,D009157,DOID:437,FDA,Immunology/Neurology,Immunology,False,True,2024-2026,missing_PubChem,DB15270|DOID:437,False,dropped
206,Tzield,teplizumab-mzwv,DB06606,,2022,Delay T1D onset in children ≥1yr,MONDO:0005147,D003922,DOID:9744,FDA,Metabolic/Immunology,Metabolic,False,True,2024-2026,missing_PubChem,DB06606|DOID:9744,True,kept
207,Asceniv,immune globulin IV (human-slra),DB00028,,2019,Primary humoral immunodeficiency pediatric 2-11yr,MONDO:0012559,C563663,DOID:0111941,FDA,Immunology,Immunology,False,True,2024-2026,missing_PubChem,DB00028|DOID:0111941,True,kept
208,Stelara,ustekinumab,DB05679,,2009,Population expansion (FDA+EMA),,,,FDA+EMA,Immunology,Immunology,False,True,2024-2026,missing_PubChem|missing_MONDO|missing_MeSH|missing_DOID|unresolvable_indication,DB05679|nan,False,dropped
209,Cablivi,caplacizumab-yhdp,DB06081,,2019,Acquired TTP pediatric ≥12yr,MONDO:0018896,D011697,DOID:10772,FDA,Hematology,Hematology,False,True,2024-2026,missing_PubChem,DB06081|DOID:10772,False,dropped
210,Sotyktu,deucravacitinib,DB16650,134821691,2022,Psoriatic arthritis,MONDO:0011849,D015535,DOID:9008,FDA+EMA+PMDA,Immunology,Immunology,True,True,2024-2026,complete,DB16650|DOID:9008,False,dropped
211,Palynziq,pegvaliase-pqpz,DB12839,86278362,2018,PKU expanded to ≥12yr,MONDO:0009861,D010661,DOID:9281,FDA+EMA,Metabolic (rare),Metabolic,False,True,2024-2026,complete,DB12839|DOID:9281,True,kept
212,Juxtapid,lomitapide,DB08827,9853053,2012,HoFH pediatric ≥2yr,MONDO:0018328,D000090542,DOID:0090105,FDA+EMA,Metabolic (rare),Metabolic,False,True,2024-2026,complete,DB08827|DOID:0090105,False,dropped
213,Wegovy,semaglutide,DB13928,56843331,2021,Oral tablet formulation for weight management,MONDO:0017408,D009765,DOID:9970,FDA+EMA,Metabolic,Metabolic,False,True,2024-2026,complete,DB13928|DOID:9970,True,kept
214,Braftovi,encorafenib,DB11718,50922675,2018,"mCRC BRAF V600E (traditional approval, was accelerated)",MONDO:0024331,D015179,DOID:0080199,FDA+EMA,Oncology,Oncology,True,True,2024-2026,complete,DB11718|DOID:0080199,True,kept
215,Trodelvy,sacituzumab govitecan,DB12893,,2020,HR+/HER2- breast cancer,MONDO:0007254,D000072656,DOID:1612,EMA+PMDA,Oncology,Oncology,True,True,2024-2026,missing_PubChem,DB12893|DOID:1612,True,kept
216,Aquipta,atogepant,DB16098,72163100,2021,Acute treatment of migraine (was prophylaxis only),MONDO:0043219,D008881,DOID:6364,EMA+PMDA,CNS,CNS,True,True,2024-2026,complete,DB16098|DOID:6364,False,dropped
217,Iclusig,ponatinib,DB08901,24826799,2013,Newly diagnosed Ph+ ALL +chemotherapy,MONDO:0004967,D054198,DOID:9952,EMA,Oncology,Oncology,True,True,2024-2026,complete,DB08901|DOID:9952,False,dropped
218,Imfinzi,durvalumab,DB11714,,2018,Resectable gastric/GEJ adenocarcinoma (neoadj+adj +FLOT),MONDO:0005036,D013274,DOID:3717,EMA,Oncology,Oncology,True,True,2024-2026,missing_PubChem,DB11714|DOID:3717,True,kept
219,Kerendia,finerenone,DB16165,60150535,2021,Symptomatic chronic HFpEF (LVEF≥40%),MONDO:0006727,D054144,DOID:9775,EMA,Cardiovascular,Cardiovascular,True,True,2024-2026,complete,DB16165|DOID:9775,False,dropped
220,Noxafil,posaconazole,DB01263,468595,2005,Invasive fungal infections pediatric ≥2yr,MONDO:0044067,D058365,DOID:0050073,EMA,Infectious,Infectious,True,True,2024-2026,complete,DB01263|DOID:0050073,True,kept
221,Efmody,hydrocortisone (modified-release),DB00741,5754,2021,Adrenal insufficiency adolescents ≥12yr,MONDO:0000004,D000309,DOID:10493,EMA,Endocrine,Endocrine,False,True,2024-2026,complete,DB00741|DOID:10493,False,dropped
222,Dupixent,dupilumab,DB12159,,2017,Chronic spontaneous urticaria pediatric 2-11yr,MONDO:0850230,D000080223,DOID:0080747,EMA,Immunology/Dermatology,Immunology,True,True,2024-2026,missing_PubChem,DB12159|DOID:0080747,False,dropped
223,Jorveza,budesonide (orodispersible),DB01222,5281004,2019,Eosinophilic esophagitis pediatric 2-17yr,MONDO:0005361,D057765,DOID:13922,EMA,GI/Immunology,GI,True,True,2024-2026,complete,DB01222|DOID:13922,False,dropped
224,Keytruda,pembrolizumab,DB09037,,2015,"New indication (EMA Feb 2026, TBD)",,,,EMA,Oncology,Oncology,True,True,2024-2026,missing_PubChem|missing_MONDO|missing_MeSH|missing_DOID|unresolvable_indication,DB09037|nan,False,dropped
225,Olumiant,baricitinib,DB11817,44205240,2017,Juvenile idiopathic arthritis (EMA Feb 2026),MONDO:0011429,D001171,DOID:676,EMA,Immunology,Immunology,True,True,2024-2026,complete,DB11817|DOID:676,True,kept
226,Scemblix,asciminib,DB12597,72165228,2021,Ph+ CML-CP frontline (EMA Feb 2026),MONDO:0011996,D015464,DOID:0081088,EMA,Oncology,Oncology,True,True,2024-2026,complete,DB12597|DOID:0081088,True,kept
227,Retsevmo,selpercatinib,DB15685,134436906,2021,"RET-fusion NSCLC expanded (EMA Mar 2026, TBD)",MONDO:0005233,D002289,DOID:3908,EMA,Oncology,Oncology,True,True,2024-2026,complete,DB15685|DOID:3908,True,kept
228,Besponsa,inotuzumab ozogamicin,DB05889,,2017,"Ph+ ALL frontline (EMA Mar 2026, TBD)",MONDO:0004967,D054198,DOID:9952,EMA,Oncology,Oncology,True,True,2024-2026,missing_PubChem,DB05889|DOID:9952,False,dropped
229,Mekinist,trametinib,DB08911,11707110,2014,"BRAF V600E solid tumors (EMA Mar 2026, TBD)",MONDO:0004198,D066066,DOID:7360,EMA,Oncology,Oncology,True,True,2024-2026,complete,DB08911|DOID:7360,False,dropped
230,Tafinlar,dabrafenib,DB08912,44462760,2013,"BRAF V600E solid tumors (EMA Mar 2026, TBD)",MONDO:0004198,D066066,DOID:7360,EMA,Oncology,Oncology,True,True,2024-2026,complete,DB08912|DOID:7360,False,dropped
231,Feraccru,ferric maltol,DB15598,169535,2016,"Iron deficiency anemia (EMA Mar 2026, TBD)",MONDO:0001356,D018798,DOID:11758,EMA,Hematology,Hematology,True,True,2024-2026,complete,DB15598|DOID:11758,False,dropped
232,Hetronifly,faricimab,DB15303,,2022,Diabetic retinopathy/DME (EMA Mar+May 2026),MONDO:0005266,D003930,DOID:8947,EMA,Ophthalmology,Ophthalmology,True,True,2024-2026,missing_PubChem,DB15303|DOID:8947,True,kept
233,Namuscla,mexiletine,DB00379,4178,2022,"Myotonic dystrophy (EMA Mar 2026, TBD)",MONDO:0023595,D009223,DOID:11722,EMA,CNS/Cardiovascular,Cardiovascular,True,True,2024-2026,complete,DB00379|DOID:11722,False,dropped
234,Venclyxto,venetoclax,DB11581,49846579,2016,AML +Inaqovi (EMA Apr 2026),MONDO:0018874,D015470,DOID:9119,EMA,Oncology,Oncology,True,True,2024-2026,complete,DB11581|DOID:9119,False,dropped
235,Inaqovi,cedazuridine+decitabine,"DB15694,DB01262","25267009,451668",2020,"AML +venetoclax (newly diagnosed, ineligible for standard chemo)",MONDO:0018874,D015470,DOID:9119,EMA,Oncology,Oncology,True,True,2024-2026,complete,"DB15694,DB01262|DOID:9119",False,dropped
236,Crysvita,burosumab,DB14012,,2018,XLH infants <1yr,MONDO:0010619,D007015,DOID:0050445,EMA,Metabolic (rare),Metabolic,False,True,2024-2026,missing_PubChem,DB14012|DOID:0050445,False,dropped
237,Comirnaty,tozinameran,DB15696,,2020,COVID-19 updated strain (EMA Apr 2026),MONDO:0100320,D000086382,DOID:0080599,EMA,Infectious,Infectious,False,True,2024-2026,missing_PubChem,DB15696|DOID:0080599,False,dropped
238,Privigen,immune globulin IV,DB00028,,2008,Measles prophylaxis post-exposure,MONDO:0004619,D008457,DOID:8622,EMA,Infectious/Immunology,Infectious,True,True,2024-2026,missing_PubChem,DB00028|DOID:8622,True,kept
239,Keytruda,pembrolizumab,DB09037,,2015,"Gastric/GEJ cancer (EMA May 2026, TBD)",MONDO:0001056,D013274,DOID:10534,EMA,Oncology,Oncology,True,True,2024-2026,missing_PubChem,DB09037|DOID:10534,False,dropped
240,Padcev,enfortumab vedotin,DB13007,,2020,"Muscle-invasive bladder cancer (EMA May 2026, TBD)",MONDO:0004986,D001749,DOID:4007,EMA,Oncology,Oncology,True,True,2024-2026,missing_PubChem,DB13007|DOID:4007,False,dropped
241,Fasenra,benralizumab,DB12023,,2017,"Eosinophilic esophagitis (EMA May 2026, TBD)",MONDO:0005361,D057765,DOID:13922,EMA,Immunology/Respiratory,Immunology,True,True,2024-2026,missing_PubChem,DB12023|DOID:13922,False,dropped
